UNNR;PROPER SHIPPING NAME;HAZARD CLASS;PG
1393;ALKALINE EARTH METAL ALLOYS, N.O.S.;4.3;II
1394;ALUMINUM CARBIDE;4.3;II
1395;ALUMINUM FERROSILICON POWDER;4.3;III
1395;ALUMINUM FERROSILICON POWDER;4.3;II
1396;ALUMINUM POWDER, UNCOATED;4.3;III
1396;ALUMINUM POWDER, UNCOATED;4.3;II
1397;ALUMINUM PHOSPHIDE;4.3;I
1398;ALUMINUM SILICON POWDER, UNCOATED;4.3;III
1400;BARIUM;4.3;II
1401;CALCIUM;4.3;II
1402;CALCIUM CARBIDE;4.3;I
1402;CALCIUM CARBIDE;4.3;II
1403;CALCIUM CYANAMIDE WITH MORE THAN 0.1 PERCENT OF CALCIUM CARBIDE;4.3;III
1404;CALCIUM HYDRIDE;4.3;I
1405;CALCIUM SILICIDE;4.3;III
1405;CALCIUM SILICIDE;4.3;II
1407;CESIUM OR  CAESIUM;4.3;I
1408;FERROSILICON, WITH 30 PERCENT OR MORE BUT LESS THAN 90 PERCENT SILICON;4.3;III
1409;METAL HYDRIDES, WATER REACTIVE, N.O.S.;4.3;I
1409;METAL HYDRIDES, WATER REACTIVE, N.O.S.;4.3;II
1410;LITHIUM ALUMINUM HYDRIDE;4.3;I
1411;LITHIUM ALUMINUM HYDRIDE, ETHEREAL;4.3;I
1413;LITHIUM BOROHYDRIDE;4.3;I
1414;LITHIUM HYDRIDE;4.3;I
1415;LITHIUM;4.3;I
1417;LITHIUM SILICON;4.3;II
1418;MAGNESIUM, POWDER OR MAGNESIUM ALLOYS, POWDER;4.3;III
1418;MAGNESIUM, POWDER OR MAGNESIUM ALLOYS, POWDER;4.3;I
1418;MAGNESIUM, POWDER OR MAGNESIUM ALLOYS, POWDER;4.3;II
1419;MAGNESIUM ALUMINUM PHOSPHIDE;4.3;I
1420;POTASSIUM, METAL ALLOYS, LIQUID;4.3;I
1421;ALKALI METAL ALLOYS, LIQUID, N.O.S.;4.3;I
1422;POTASSIUM SODIUM ALLOYS, LIQUID;4.3;I
1423;RUBIDIUM;4.3;I
1426;SODIUM BOROHYDRIDE;4.3;I
1427;SODIUM HYDRIDE;4.3;I
1428;SODIUM;4.3;I
1431;SODIUM METHYLATE;4.2;II
1432;SODIUM PHOSPHIDE;4.3;I
1433;STANNIC PHOSPHIDE;4.3;I
1435;ZINC ASHES;4.3;III
1436;ZINC POWDER OR ZINC DUST;4.3;III
1436;ZINC POWDER OR ZINC DUST;4.3;I
1436;ZINC POWDER OR ZINC DUST;4.3;II
1437;ZIRCONIUM HYDRIDE;4.1;II
1438;ALUMINUM NITRATE;5.1;III
1439;AMMONIUM DICHROMATE;5.1;II
1442;AMMONIUM PERCHLORATE;5.1;II
1444;AMMONIUM PERSULFATE;5.1;III
1445;BARIUM CHLORATE, SOLID;5.1;II
1446;BARIUM NITRATE;5.1;II
1447;BARIUM PERCHLORATE, SOLID;5.1;II
1448;BARIUM PERMANGANATE;5.1;II
1449;BARIUM PEROXIDE;5.1;II
1450;BROMATES, INORGANIC, N.O.S.;5.1;II
1451;CESIUM NITRATE OR CAESIUM NITRATE;5.1;III
1452;CALCIUM CHLORATE;5.1;II
1453;CALCIUM CHLORITE;5.1;II
1454;CALCIUM NITRATE;5.1;III
1455;CALCIUM PERCHLORATE;5.1;II
1456;CALCIUM PERMANGANATE;5.1;II
1457;CALCIUM PEROXIDE;5.1;II
1458;CHLORATE AND BORATE MIXTURES;5.1;III
1458;CHLORATE AND BORATE MIXTURES;5.1;II
1459;CHLORATE AND MAGNESIUM CHLORIDE MIXTURES, SOLID;5.1;II
1461;CHLORATES, INORGANIC, N.O.S.;5.1;II
1462;CHLORITES, INORGANIC, N.O.S.;5.1;II
1463;CHROMIUM TRIOXIDE, ANHYDROUS;5.1;II
1465;DIDYMIUM NITRATE;5.1;III
1466;FERRIC NITRATE;5.1;III
1467;GUANIDINE NITRATE;5.1;III
1469;LEAD NITRATE;5.1;II
1470;LEAD PERCHLORATE, SOLID;5.1;II
1471;LITHIUM HYPOCHLORITE, DRY OR LITHIUM HYPOCHLORITE MIXTURE;5.1;III
1471;LITHIUM HYPOCHLORITE, DRY OR LITHIUM HYPOCHLORITE MIXTURE.;5.1;II
1472;LITHIUM PEROXIDE;5.1;II
1473;MAGNESIUM BROMATE;5.1;II
1474;MAGNESIUM NITRATE;5.1;III
1475;MAGNESIUM PERCHLORATE;5.1;II
1476;MAGNESIUM PEROXIDE;5.1;II
1477;NITRATES, INORGANIC, N.O.S.;5.1;III
1477;NITRATES, INORGANIC, N.O.S.;5.1;II
1479;OXIDIZING SOLID, N.O.S.;5.1;III
1479;OXIDIZING SOLID, N.O.S.;5.1;II
1479;OXIDIZING SOLID, N.O.S.;5.1;I
1481;PERCHLORATES, INORGANIC, N.O.S.;5.1;III
1481;PERCHLORATES, INORGANIC, N.O.S.;5.1;II
1482;PERMANGANATES, INORGANIC, N.O.S.;5.1;III
1482;PERMANGANATES, INORGANIC, N.O.S.;5.1;II
1483;PEROXIDES, INORGANIC, N.O.S.;5.1;III
1483;PEROXIDES, INORGANIC, N.O.S.;5.1;II
1484;POTASSIUM BROMATE;5.1;II
1485;POTASSIUM CHLORATE;5.1;II
1486;POTASSIUM NITRATE;5.1;III
1487;POTASSIUM NITRATE AND SODIUM NITRITE MIXTURES;5.1;II
1488;POTASSIUM NITRITE;5.1;II
1489;POTASSIUM PERCHLORATE;5.1;II
1490;POTASSIUM PERMANGANATE;5.1;II
1491;POTASSIUM PEROXIDE;5.1;I
1492;POTASSIUM PERSULFATE;5.1;III
1493;SILVER NITRATE;5.1;II
1494;SODIUM BROMATE;5.1;II
1495;SODIUM CHLORATE;5.1;II
1496;SODIUM CHLORITE;5.1;II
1498;SODIUM NITRATE;5.1;III
1499;SODIUM NITRATE AND POTASSIUM NITRATE MIXTURES;5.1;III
1500;SODIUM NITRITE;5.1;III
1502;SODIUM PERCHLORATE;5.1;II
1503;SODIUM PERMANGANATE;5.1;II
1504;SODIUM PEROXIDE;5.1;I
1505;SODIUM PERSULFATE;5.1;III
1506;STRONTIUM CHLORATE;5.1;II
1507;STRONTIUM NITRATE;5.1;III
1508;STRONTIUM PERCHLORATE;5.1;II
1509;STRONTIUM PEROXIDE;5.1;II
1510;TETRANITROMETHANE;6.1;I
1511;UREA HYDROGEN PEROXIDE;5.1;III
1512;ZINC AMMONIUM NITRITE;5.1;II
1513;ZINC CHLORATE;5.1;II
1514;ZINC NITRATE;5.1;II
1515;ZINC PERMANGANATE;5.1;II
1516;ZINC PEROXIDE;5.1;II
1517;ZIRCONIUM PICRAMATE, WETTED WITH NOT LESS THAN 20 PERCENT WATER, BY MASS;4.1;I
1541;ACETONE CYANOHYDRIN, STABILIZED;6.1;I
1544;ALKALOIDS, SOLID, N.O.S. OR ALKALOID SALTS, SOLID, N.O.S. POISONOUS;6.1;II
1544;ALKALOIDS, SOLID, N.O.S. OR ALKALOID SALTS, SOLID, N.O.S. POISONOUS;6.1;III
1544;ALKALOIDS, SOLID, N.O.S. OR ALKALOID SALTS, SOLID, N.O.S. POISONOUS;6.1;I
1545;ALLYL ISOTHIOCYANATE, STABILIZED;6.1;II
1546;AMMONIUM ARSENATE;6.1;II
1547;ANILINE;6.1;II
1548;ANILINE HYDROCHLORIDE;6.1;III
1549;ANTIMONY COMPOUNDS, INORGANIC, SOLID, N.O.S.;6.1;III
1550;ANTIMONY LACTATE;6.1;III
1551;ANTIMONY POTASSIUM TARTRATE;6.1;III
1553;ARSENIC ACID, LIQUID;6.1;I
1554;ARSENIC ACID, SOLID;6.1;II
1555;ARSENIC BROMIDE;6.1;II
1556;METHYLDICHLOROARSINE;6.1;I
1556;"ARSENIC COMPOUNDS, LIQUID, N.O.S. INORGANIC, INCLUDING ARSENATES, N.O.S.; ARSENITES, N.O.S.; ARSENIC SULFIDES, N.O.S.; AND ORGANIC COMPOUNDS OF ARSENIC, N.O.S.";6.1;III
1556;"ARSENIC COMPOUNDS, LIQUID, N.O.S. INORGANIC, INCLUDING ARSENATES, N.O.S.; ARSENITES, N.O.S.; ARSENIC SULFIDES, N.O.S.; AND ORGANIC COMPOUNDS OF ARSENIC, N.O.S.";6.1;I
1556;"ARSENIC COMPOUNDS, LIQUID, N.O.S. INORGANIC, INCLUDING ARSENATES, N.O.S.; ARSENITES, N.O.S.; ARSENIC SULFIDES, N.O.S.; AND ORGANIC COMPOUNDS OF ARSENIC, N.O.S.";6.1;II
1557;"ARSENIC COMPOUNDS, SOLID, N.O.S. INORGANIC, INCLUDING ARSENATES, N.O.S.; ARSENITES, N.O.S.; ARSENIC SULFIDES, N.O.S.; AND ORGANIC COMPOUNDS OF ARSENIC, N.O.S.";6.1;II
1557;"ARSENIC COMPOUNDS, SOLID, N.O.S. INORGANIC, INCLUDING ARSENATES, N.O.S.; ARSENITES, N.O.S.; ARSENIC SULFIDES, N.O.S.; AND ORGANIC COMPOUNDS OF ARSENIC, N.O.S.";6.1;III
1557;"ARSENIC COMPOUNDS, SOLID, N.O.S. INORGANIC, INCLUDING ARSENATES, N.O.S.; ARSENITES, N.O.S.; ARSENIC SULFIDES, N.O.S.; AND ORGANIC COMPOUNDS OF ARSENIC, N.O.S.";6.1;I
1558;ARSENIC;6.1;II
1559;ARSENIC PENTOXIDE;6.1;II
1560;ARSENIC TRICHLORIDE;6.1;I
1561;ARSENIC TRIOXIDE;6.1;II
1562;ARSENICAL DUST;6.1;II
1564;BARIUM COMPOUNDS, N.O.S.;6.1;II
1564;BARIUM COMPOUNDS, N.O.S.;6.1;III
1565;BARIUM CYANIDE;6.1;I
1566;BERYLLIUM COMPOUNDS, N.O.S.;6.1;II
1566;BERYLLIUM COMPOUNDS, N.O.S.;6.1;III
1567;BERYLLIUM, POWDER;6.1;II
1569;BROMOACETONE;6.1;II
1570;BRUCINE;6.1;I
1571;BARIUM AZIDE, WETTED WITH NOT LESS THAN 50 PERCENT WATER, BY MASS;4.1;I
1572;CACODYLIC ACID;6.1;II
1573;CALCIUM ARSENATE;6.1;II
1574;CALCIUM ARSENATE AND CALCIUM ARSENITE, MIXTURES, SOLID;6.1;II
1575;CALCIUM CYANIDE;6.1;I
1577;CHLORODINITROBENZENES, LIQUID;6.1;II
1578;CHLORONITROBENZENES SOLID ;6.1;II
1579;4-CHLORO-O-TOLUIDINE HYDROCHLORIDE, SOLID;6.1;III
1580;CHLOROPICRIN;6.1;I
1581;CHLOROPICRIN AND METHYL BROMIDE MIXTURES;2.3;
1582;CHLOROPICRIN AND METHYL CHLORIDE MIXTURES;2.3;
1583;CHLOROPICRIN MIXTURES, N.O.S.;6.1;III
1583;CHLOROPICRIN MIXTURES, N.O.S.;6.1;I
1583;CHLOROPICRIN MIXTURES, N.O.S.;6.1;II
1585;COPPER ACETOARSENITE;6.1;II
1586;COPPER ARSENITE;6.1;II
1587;COPPER CYANIDE;6.1;II
1588;CYANIDES, INORGANIC, SOLID, N.O.S.;6.1;II
1588;CYANIDES, INORGANIC, SOLID, N.O.S.;6.1;III
1588;CYANIDES, INORGANIC, SOLID, N.O.S.;6.1;I
1589;CYANOGEN CHLORIDE, STABILIZED;2.3;
1590;DICHLOROANILINES, LIQUID;6.1;II
1591;O-DICHLOROBENZENE;6.1;III
1593;DICHLOROMETHANE;6.1;III
1594;DIETHYL SULFATE;6.1;II
1595;DIMETHYL SULFATE;6.1;I
1596;DINITROANILINES;6.1;II
1597;DINITROBENZENES, LIQUID;6.1;II
1598;DINITRO-O-CRESOL;6.1;II
1599;DINITROPHENOL SOLUTIONS;6.1;III
1599;DINITROPHENOL SOLUTIONS;6.1;II
1600;DINITROTOLUENES, MOLTEN;6.1;II
1601;DISINFECTANTS, SOLID, TOXIC, N.O.S.;6.1;II
1601;DISINFECTANTS, SOLID, TOXIC, N.O.S.;6.1;III
1601;DISINFECTANTS, SOLID, TOXIC, N.O.S. ;6.1;I
1602;DYES, LIQUID, TOXIC, N.O.S.  OR  DYE INTERMEDIATES, LIQUID, TOXIC, N.O.S.;6.1;III
1602;DYES, LIQUID, TOXIC, N.O.S.  OR  DYE INTERMEDIATES, LIQUID, TOXIC, N.O.S.;6.1;II
1602;DYES, LIQUID, TOXIC, N.O.S. OR DYE INTERMEDIATES, LIQUID, TOXIC, N.O.S.;6.1;I
1603;ETHYL BROMOACETATE;6.1;II
1604;ETHYLENEDIAMINE;8;II
1605;ETHYLENE DIBROMIDE;6.1;I
1606;FERRIC ARSENATE;6.1;II
1607;FERRIC ARSENITE;6.1;II
1608;FERROUS ARSENATE;6.1;II
1611;HEXAETHYL TETRAPHOSPHATE, LIQUID;6.1;II
1611;HEXAETHYL TETRAPHOSPHATE, SOLID;6.1;II
1612;HEXAETHYL TETRAPHOSPHATE AND COMPRESSED GAS MIXTURES;2.3;
1613;HYDROCYANIC ACID, AQUEOUS SOLUTIONS WITH LESS THAN 5 PERCENT HYDROGEN CYANIDE;6.1;II
1613;HYDROCYANIC ACID, AQUEOUS SOLUTIONS OR HYDROGEN CYANIDE, AQUEOUS SOLUTIONS WITH NOT MORE THAN 20 PERCENT HYDROGEN CYANIDE;6.1;I
1614;HYDROGEN CYANIDE, STABILIZED, WITH LESS THAN 3 PERCENT WATER AND ABSORBED IN A POROUS INERT MATERIAL;6.1;I
1616;LEAD ACETATE;6.1;III
1617;LEAD ARSENATES;6.1;II
1618;LEAD ARSENITES;6.1;II
1620;LEAD CYANIDE;6.1;II
1621;LONDON PURPLE;6.1;II
1622;MAGNESIUM ARSENATE;6.1;II
1623;MERCURIC ARSENATE;6.1;II
1624;MERCURIC CHLORIDE;6.1;II
1625;MERCURIC NITRATE;6.1;II
1626;MERCURIC POTASSIUM CYANIDE;6.1;I
1627;MERCUROUS NITRATE;6.1;II
1629;MERCURY ACETATE;6.1;II
1629;MERCURY ACETATE;6.1;II
1630;MERCURY AMMONIUM CHLORIDE;6.1;II
1631;MERCURY BENZOATE;6.1;II
1634;MERCURY BROMIDES;6.1;II
1636;MERCURY CYANIDE;6.1;II
1637;MERCURY GLUCONATE;6.1;II
1638;MERCURY IODIDE;6.1;II
1639;MERCURY NUCLEATE;6.1;II
1640;MERCURY OLEATE;6.1;II
1641;MERCURY OXIDE;6.1;II
1642;MERCURY OXYCYANIDE, DESENSITIZED;6.1;II
1643;MERCURY POTASSIUM IODIDE;6.1;II
1644;MERCURY SALICYLATE;6.1;II
1645;MERCURY SULFATES;6.1;II
1646;MERCURY THIOCYANATE;6.1;II
1647;METHYL BROMIDE AND ETHYLENE DIBROMIDE MIXTURES, LIQUID;6.1;I
1648;ACETONITRILE;3;II
1649;MOTOR FUEL ANTI-KNOCK MIXTURES;6.1;I
1650;BETA-NAPHTHYLAMINE, SOLID;6.1;II
1651;NAPHTHYLTHIOUREA;6.1;II
1652;NAPHTHYLUREA;6.1;II
1653;NICKEL CYANIDE;6.1;II
1654;NICOTINE;6.1;II
1655;NICOTINE COMPOUNDS, SOLID, N.O.S.  OR  NICOTINE PREPARATIONS, SOLID, N.O.S.;6.1;III
1655;NICOTINE COMPOUNDS, SOLID, N.O.S.  OR  NICOTINE PREPARATIONS, SOLID, N.O.S.;6.1;I
1655;NICOTINE COMPOUNDS, SOLID, N.O.S. OR  NICOTINE PREPARATIONS, SOLID, N.O.S.;6.1;II
1656;NICOTINE HYDROCHLORIDE OR  NICOTINE HYDROCHLORIDE SOLUTION;6.1;II
1656;NICOTINE HYDROCHLORIDE OR  NICOTINE HYDROCHLORIDE SOLUTION;6.1;III
1657;NICOTINE SALICYLATE;6.1;II
1658;NICOTINE SULFATE SOLUTION;6.1;II
1658;"NICOTINE SULFATE SOLUTION
";6.1;III
1659;NICOTINE TARTRATE;6.1;II
1660;NITRIC OXIDE, COMPRESSED;2.3;
1661;"NITROANILINES (O-; M-; P-;)";6.1;II
1662;NITROBENZENE;6.1;II
1663;"NITROPHENOLS (O-; M-; P-;)";6.1;III
1664;NITROTOLUENES, LIQUID ;6.1;II
1665;NITROXYLENES, LIQUID ;6.1;II
1669;PENTACHLOROETHANE;6.1;II
1670;PERCHLOROMETHYL MERCAPTAN;6.1;I
1671;PHENOL, SOLID;6.1;II
1672;PHENYLCARBYLAMINE CHLORIDE;6.1;I
1673;PHENYLENEDIAMINES (O-, M-, P-);6.1;III
1674;PHENYLMERCURIC ACETATE;6.1;II
1677;POTASSIUM ARSENATE;6.1;II
1678;POTASSIUM ARSENITE;6.1;II
1679;POTASSIUM CUPROCYANIDE;6.1;II
1680;POTASSIUM CYANIDE, SOLID;6.1;I
1683;SILVER ARSENITE;6.1;II
1684;SILVER CYANIDE;6.1;II
1685;SODIUM ARSENATE;6.1;II
1686;SODIUM ARSENITE, AQUEOUS SOLUTIONS;6.1;III
1686;SODIUM ARSENITE, AQUEOUS SOLUTIONS;6.1;II
1687;SODIUM AZIDE;6.1;II
1688;SODIUM CACODYLATE;6.1;II
1689;SODIUM CYANIDE, SOLID;6.1;I
1690;SODIUM FLUORIDE, SOLID;6.1;III
1691;STRONTIUM ARSENITE;6.1;II
1692;STRYCHNINE OR STRYCHNINE SALTS;6.1;I
1693;TEAR GAS DEVICES WITH MORE THAN 2 PERCENT TEAR GAS SUBSTANCES, BY MASS;6.1;I
1693;TEAR GAS DEVICES WITH MORE THAN 2 PERCENT TEAR GAS SUBSTANCES, BY MASS;6.1;II
1693;TEAR GAS SUBSTANCES, LIQUID, N.O.S.;6.1;II
1693;TEAR GAS SUBSTANCES, LIQUID, N.O.S.;6.1;I
1693;TEAR GAS SUBSTANCES, SOLID, N.O.S.;6.1;I
1693;TEAR GAS SUBSTANCES, SOLID, N.O.S.;6.1;II
1694;BROMOBENZYL CYANIDES, LIQUID;6.1;I
1695;CHLOROACETONE, STABILIZED;6.1;I
1697;CHLOROACETOPHENONE, SOLID, (CN);6.1;II
1698;DIPHENYLAMINE CHLOROARSINE;6.1;I
1699;DIPHENYLCHLOROARSINE, LIQUID;6.1;I
1700;TEAR GAS CANDLES;6.1;II
1701;XYLYL BROMIDE, LIQUID;6.1;II
1702;1,1,2,2-TETRACHLOROETHANE;6.1;II
1704;TETRAETHYL DITHIOPYROPHOSPHATE;6.1;II
1707;THALLIUM COMPOUNDS, N.O.S.;6.1;II
1708;TOLUIDINES LIQUID;6.1;II
1709;2,4-TOLUYLENEDIAMINE, SOLID  OR  2,4-TOLUENEDIAMINE, SOLID;6.1;III
1710;TRICHLOROETHYLENE;6.1;III
1711;XYLIDINES, LIQUID;6.1;II
1712;ZINC ARSENATE OR ZINC ARSENITE OR ZINC ARSENATE AND ZINC ARSENITE MIXTURES;6.1;II
1713;ZINC CYANIDE;6.1;I
1714;ZINC PHOSPHIDE;4.3;I
1715;ACETIC ANHYDRIDE;8;II
1716;ACETYL BROMIDE;8;II
1717;ACETYL CHLORIDE;3;II
1718;BUTYL ACID PHOSPHATE;8;III
1719;CAUSTIC ALKALI LIQUIDS, N.O.S.;8;II
1719;CAUSTIC ALKALI LIQUIDS, N.O.S.;8;III
1722;ALLYL CHLOROFORMATE;6.1;I
1723;ALLYL IODIDE;3;II
1724;ALLYLTRICHLOROSILANE, STABILIZED;8;II
1725;ALUMINUM BROMIDE, ANHYDROUS;8;II
1726;ALUMINUM CHLORIDE, ANHYDROUS;8;II
1727;AMMONIUM HYDROGENDIFLUORIDE, SOLID;8;II
1728;AMYLTRICHLOROSILANE;8;II
1729;ANISOYL CHLORIDE;8;II
1730;ANTIMONY PENTACHLORIDE, LIQUID;8;II
1731;ANTIMONY PENTACHLORIDE, SOLUTIONS;8;II
1731;ANTIMONY PENTACHLORIDE, SOLUTIONS;8;III
1732;ANTIMONY PENTAFLUORIDE;8;II
1733;ANTIMONY TRICHLORIDE, LIQUID;8;II
1733;ANTIMONY TRICHLORIDE, SOLID;8;II
1736;BENZOYL CHLORIDE;8;II
1737;BENZYL BROMIDE;6.1;II
1738;BENZYL CHLORIDE;6.1;II
1738;BENZYL CHLORIDE UNSTABILIZED;6.1;II
1739;BENZYL CHLOROFORMATE;8;I
1740;HYDROGENDIFLUORIDES, SOLID, N.O.S. ;8;III
1740;HYDROGENDIFLUORIDES, SOLID, N.O.S. ;8;II
1741;BORON TRICHLORIDE;2.3;
1742;BORON TRIFLUORIDE ACETIC ACID COMPLEX, LIQUID;8;II
1743;BORON TRIFLUORIDE PROPIONIC ACID COMPLEX, LIQUID;8;II
1744;BROMINE;8;I
1744;BROMINE SOLUTIONS;8;I 
1744;BROMINE SOLUTIONS;8;I
1745;BROMINE PENTAFLUORIDE;5.1;I
1746;BROMINE TRIFLUORIDE;5.1;I
1747;BUTYLTRICHLOROSILANE;8;II
1748;CALCIUM HYPOCHLORITE, DRY  OR  CALCIUM HYPOCHLORITE MIXTURES DRY WITH MORE THAN 39 PERCENT AVAILABLE CHLORINE (8.8 PERCENT AVAILABLE OXYGEN);5.1;II
1748;CALCIUM HYPOCHLORITE, DRY OR CALCIUM HYPOCHLORITE MIXTURES DRY WITH MORE THAN 39 PERCENT AVAILABLE CHLORINE (8.8 PERCENT AVAILABLE OXYGEN);5.1;III
1749;CHLORINE TRIFLUORIDE;2.3;
1750;CHLOROACETIC ACID, SOLUTION;6.1;II
1751;CHLOROACETIC ACID, SOLID;6.1;II
1752;CHLOROACETYL CHLORIDE;6.1;I
1753;CHLOROPHENYLTRICHLOROSILANE;8;II
1754;CHLOROSULFONIC ACID (WITH OR WITHOUT SULFUR TRIOXIDE);8;I
1755;CHROMIC ACID SOLUTION;8;II
1755;CHROMIC ACID SOLUTION;8;III
1756;CHROMIC FLUORIDE, SOLID;8;II
1757;CHROMIC FLUORIDE, SOLUTION;8;II
1757;CHROMIC FLUORIDE, SOLUTION;8;III
1758;CHROMIUM OXYCHLORIDE;8;I
1759;FERROUS CHLORIDE, SOLID;8;II
1759;CORROSIVE SOLIDS, N.O.S.;8;III
1759;CORROSIVE SOLIDS, N.O.S.;8;II
1759;CORROSIVE SOLIDS, N.O.S.;8;I
1760;CHEMICAL KIT;8;II
1760;COMPOUNDS, CLEANING LIQUID;8;III
1760;COMPOUNDS, CLEANING LIQUID;8;I
1760;COMPOUNDS, CLEANING LIQUID;8;II
1760;COMPOUNDS, TREE KILLING, LIQUID OR COMPOUNDS, WEED KILLING, LIQUID;8;III
1760;COMPOUNDS, TREE KILLING, LIQUID OR COMPOUNDS, WEED KILLING, LIQUID;8;I
1760;COMPOUNDS, TREE KILLING, LIQUID OR COMPOUNDS, WEED KILLING, LIQUID;8;II
1760;FERROUS CHLORIDE, SOLUTION;8;II
1760;CORROSIVE LIQUIDS, N.O.S.;8;III
1760;CORROSIVE LIQUIDS, N.O.S.;8;I
1760;CORROSIVE LIQUIDS, N.O.S.;8;II
1761;CUPRIETHYLENEDIAMINE SOLUTION;8;III
1761;CUPRIETHYLENEDIAMINE SOLUTION;8;II
1762;CYCLOHEXENYLTRICHLOROSILANE;8;II
1763;CYCLOHEXYLTRICHLOROSILANE;8;II
1764;DICHLOROACETIC ACID;8;II
1765;DICHLOROACETYL CHLORIDE;8;II
1766;DICHLOROPHENYLTRICHLOROSILANE;8;II
1767;DIETHYLDICHLOROSILANE;8;II
1768;DIFLUOROPHOSPHORIC ACID, ANHYDROUS;8;II
1769;DIPHENYLDICHLOROSILANE;8;II
1770;DIPHENYLMETHYL BROMIDE;8;II
1771;DODECYLTRICHLOROSILANE;8;II
1773;FERRIC CHLORIDE, ANHYDROUS;8;III
1774;FIRE EXTINGUISHER CHARGES, CORROSIVE LIQUID;8;II
1775;FLUOROBORIC ACID;8;II
1776;FLUOROPHOSPHORIC ACID ANHYDROUS;8;II
1777;FLUOROSULFONIC ACID;8;I
1778;FLUOROSILICIC ACID;8;II
1779;FORMIC ACID WITH MORE THAN 85% ACID BY MASS;8;II
1780;FUMARYL CHLORIDE;8;II
1781;HEXADECYLTRICHLOROSILANE;8;II
1782;HEXAFLUOROPHOSPHORIC ACID;8;II
1783;HEXAMETHYLENEDIAMINE SOLUTION;8;II
1783;HEXAMETHYLENEDIAMINE SOLUTION;8;III
1784;HEXYLTRICHLOROSILANE;8;II
1786;HYDROFLUORIC ACID AND SULFURIC ACID MIXTURES;8;I
1787;HYDRIODIC ACID;8;III
1787;HYDRIODIC ACID;8;II
1788;HYDROBROMIC ACID, WITH MORE THAN 49 PERCENT HYDROBROMIC ACID;8;III
1788;HYDROBROMIC ACID, WITH MORE THAN 49 PERCENT HYDROBROMIC ACID;8;II
1788;HYDROBROMIC ACID, WITH NOT MORE THAN 49 PERCENT HYDROBROMIC ACID;8;III
1788;HYDROBROMIC ACID, WITH NOT MORE THAN 49 PERCENT HYDROBROMIC ACID;8;II
1789;HYDROCHLORIC ACID;8;III
1789;HYDROCHLORIC ACID;8;II
1789;HYDROCHLORIC ACID;8;II
1789;HYDROCHLORIC ACID;8;III
1790;HYDROFLUORIC ACID, WITH MORE THAN 60 PERCENT STRENGTH;8;I
1790;HYDROFLUORIC ACID, WITH NOT MORE THAN 60 PERCENT STRENGTH;8;II
1791;HYPOCHLORITE SOLUTIONS;8;II
1791;HYPOCHLORITE SOLUTIONS;8;III
1792;IODINE MONOCHLORIDE;8;II
1792;IODINE MONOCHLORIDE, DOLID.;8;II
1793;ISOPROPYL ACID PHOSPHATE;8;III
1794;LEAD SULFATE WITH MORE THAN 3 PERCENT FREE ACID;8;II
1796;NITRATING ACID MIXTURES WITH MORE THAN 50 PERCENT NITRIC ACID;8;I
1796;NITRATING ACID MIXTURES WITH NOT MORE THAN 50 PERCENT NITRIC ACID;8;II
1798;NITROHYDROCHLORIC ACID;8;I
1799;NONYLTRICHLOROSILANE;8;II
1800;OCTADECYLTRICHLOROSILANE;8;II
1801;OCTYLTRICHLOROSILANE;8;II
1802;PERCHLORIC ACID WITH NOT MORE THAN 50 PERCENT ACID BY MASS;8;II
1803;PHENOLSULFONIC ACID, LIQUID;8;II
1804;PHENYLTRICHLOROSILANE;8;II
1805;PHOSPHORIC ACID SOLUTION;8;III
1806;PHOSPHORUS PENTACHLORIDE;8;II
1807;PHOSPHORUS PENTOXIDE;8;II
1808;PHOSPHORUS TRIBROMIDE;8;II
1809;PHOSPHORUS TRICHLORIDE;6.1;I
1810;PHOSPHORUS OXYCHLORIDE;6.1;I
1811;POTASSIUM HYDROGENDIFLUORIDE, SOLID;8;II
1812;POTASSIUM FLUORIDE, SOLID;6.1;III
1813;POTASSIUM HYDROXIDE, SOLID;8;II
1814;POTASSIUM HYDROXIDE, SOLUTION;8;II
1814;POTASSIUM HYDROXIDE, SOLUTION;8;III
1815;PROPIONYL CHLORIDE;3;II
1816;PROPYLTRICHLOROSILANE;8;II
1817;PYROSULFURYL CHLORIDE;8;II
1818;SILICON TETRACHLORIDE;8;II
1819;SODIUM ALUMINATE, SOLUTION;8;II
1819;SODIUM ALUMINATE, SOLUTION;8;III
1823;SODIUM HYDROXIDE, SOLID;8;II
1824;SODIUM HYDROXIDE SOLUTION;8;II
1824;SODIUM HYDROXIDE SOLUTION;8;III
1825;SODIUM MONOXIDE;8;II
1826;NITRATING ACID MIXTURES SPENT WITH NOT MORE THAN 50 PERCENT NITRIC ACID;8;II
1826;NITRATING ACID MIXTURES, SPENT WITH MORE THAN 50 PERCENT NITRIC ACID;8;I
1827;STANNIC CHLORIDE, ANHYDROUS;8;II
1828;SULFUR CHLORIDES;8;I
1829;SULFUR TRIOXIDE, STABILIZED;8;I
1830;SULFURIC ACID WITH MORE THAN 51 PERCENT ACID;8;II
1831;SULFURIC ACID, FUMING WITH 30 PERCENT OR MORE FREE SULFUR TRIOXIDE;8;I
1831;SULFURIC ACID, FUMING WITH LESS THAN 30 PERCENT FREE SULFUR TRIOXIDE;8;I
1832;SULFURIC ACID, SPENT;8;II
1833;SULFUROUS ACID;8;II
1834;SULFURYL CHLORIDE;6.1;I
